GENERAL QUERY,,
"(""choice"" OR ""decision analysis"" OR ""decision making"" OR ""decision-making"" OR ""idea
screening"" OR ""information gathering"" OR ""judgement"" OR ""judgment"" OR ""option analysis""
OR ""trade-off"") AND (""information system analysis"" OR ""information system design""
OR ""information system development"" OR ""information system planning"" OR ""information
system requirements"" OR ""new product"" OR ""product design"" OR ""product development"" OR
""software architecture"" OR ""software design"" OR ""software development"" OR ""software
planning"" OR ""software requirements"") AND (""analytic"" OR ""associative"" OR ""automatic""
OR ""*conscious*"" OR ""dual-process*"" OR ""experiential"" OR ""explicit"" OR ""gut-feel*"" OR
""heuristic"" OR ""holistic"" OR ""implicit"" OR ""intuit*"" OR ""naturalistic"" OR ""*rational*""
OR ""reasoning"" OR ""reflect*"" OR ""reflex*"" OR ""system 1"" OR ""system 2"" OR ""tacit"")",,
DATABASE-SPECIFIC QUERY,DATABASE,NUMBER OF RESULTS
"recordAbstract:((""choice"" OR ""decision analysis"" OR ""decision making"" OR ""decisionmaking""
OR ""idea screening"" OR ""information gathering"" OR ""judgement"" OR ""judgment"" OR
""option analysis"" OR ""trade-off"") AND (""information system analysis"" OR ""information
system design"" OR ""information system development"" OR ""information system planning""
OR ""information system requirements"" OR ""new product"" OR ""product design"" OR ""product
development"" OR ""software architecture"" OR ""software design"" OR ""software development""
OR ""software planning"" OR ""software requirements"") AND (""analytic"" OR ""associative""
OR ""automatic"" OR ""*conscious*"" OR ""dual-process*"" OR ""experiential"" OR ""explicit"" OR
""gut-feel*"" OR ""heuristic"" OR ""holistic"" OR ""implicit"" OR ""intuit*"" OR ""naturalistic""
OR ""*rational*"" OR ""reasoning"" OR ""reflect*"" OR ""reflex*"" OR ""system 1"" OR ""system 2""
OR ""tacit""))","ACM
Digital
Library",145
"(""Abstract"":""decision making"") AND (""Abstract"":intuit* OR ""Abstract"":rational* OR
""Abstract"":""system 1"" OR ""Abstract"":""system 2"") AND (""Abstract"":software OR ""Abstract"":
product OR ""Abstract"":""information system"")",IEEE Explore Digital Library,132
"ABSTRACT((""choice"" OR ""decision analysis"" OR ""decision making"" OR ""decision-making"" OR
""idea screening"" OR ""information gathering"" OR ""judgement"" OR ""judgment"" OR ""option
analysis"" OR ""trade-off"") AND (""information system analysis"" OR ""information system design""
OR ""information system development"" OR ""information system planning"" OR ""information
system requirements"" OR ""new product"" OR ""product design"" OR ""product development""
OR ""software architecture"" OR ""software design"" OR ""software development"" OR ""software
planning"" OR ""software requirements"") AND (""analytic"" OR ""associative"" OR ""automatic""
OR ""*conscious*"" OR ""dual-process*"" OR ""experiential"" OR ""explicit"" OR ""gut-feel*"" OR
""heuristic"" OR ""holistic"" OR ""implicit"" OR ""intuit*"" OR ""naturalistic"" OR ""*rational*""
OR ""reasoning"" OR ""reflect*"" OR ""reflex*"" OR ""system 1"" OR ""system 2"" OR ""tacit""))",Science Direct,296
"(ABS(""choice"") OR ABS(""decision analysis"") OR ABS(""decision making"") OR ABS(""decisionmaking"")
OR ABS(""idea screening"") OR ABS(""information gathering"") OR ABS(""judgement"")
OR ABS(""judgment"") OR ABS(""option analysis"") OR ABS(""trade-off"")) AND (ABS(""information
system analysis"") OR ABS(""information system design"") OR ABS(""information system development"")
OR ABS(""information system planning"") OR ABS(""information system requirements"")
OR ABS(""new product"") OR ABS(""product design"") OR ABS(""product development"") OR
ABS(""software architecture"") OR ABS(""software design"") OR ABS(""software development"")
OR ABS(""software planning"") OR ABS(""software requirements"")) AND (ABS(""analytic"") OR
ABS(""associative"") OR ABS(""automatic"") OR ABS(""*conscious*"") OR ABS(""dual-process*"")
OR ABS(""experiential"") OR ABS(""explicit"") OR ABS(""gut-feel*"") OR ABS(""heuristic"")
OR ABS(""holistic"") OR ABS(""implicit"") OR ABS(""intuit*"") OR ABS(""naturalistic"")
OR ABS(""*rational*"") OR ABS(""reasoning"") OR ABS(""reflect*"") OR ABS(""reflex*"") OR
ABS(""system 1"") OR ABS(""system 2"") OR ABS(""tacit""))",SCOPUS,1751
"(ABSTRACT(""choice"") OR ABSTRACT(""decision analysis"") OR ABSTRACT(""decision making"")
OR ABSTRACT(""decision-making"") OR ABSTRACT(""idea screening"") OR ABSTRACT(""information
gathering"") OR ABSTRACT(""judgement"") OR ABSTRACT(""judgment"") OR ABSTRACT(""option analysis"")
OR ABSTRACT(""trade-off"")) AND (ABSTRACT(""information system analysis"") OR ABSTRACT(""
information system design"") OR ABSTRACT(""information system development"")
OR ABSTRACT(""information system planning"") OR ABSTRACT(""information system requirements"")
OR ABSTRACT(""new product"") OR ABSTRACT(""product design"") OR ABSTRACT(""product
development"") OR ABSTRACT(""software architecture"") OR ABSTRACT(""software design"")
OR ABSTRACT(""software development"") OR ABSTRACT(""software planning"") OR ABSTRACT(""
software requirements"")) AND (ABSTRACT(""analytic"") OR ABSTRACT(""associative"")
OR ABSTRACT(""automatic"") OR ABSTRACT(""*conscious*"") OR ABSTRACT(""dual-process*"")
OR ABSTRACT(""experiential"") OR ABSTRACT(""explicit"") OR ABSTRACT(""gut-feel*"") OR
ABSTRACT(""heuristic"") OR ABSTRACT(""holistic"") OR ABSTRACT(""implicit"") OR ABSTRACT(""
intuit*"") OR ABSTRACT(""naturalistic"") OR ABSTRACT(""*rational*"") OR ABSTRACT(""
reasoning"") OR ABSTRACT(""reflect*"") OR ABSTRACT(""reflex*"") OR ABSTRACT(""system
1"") OR ABSTRACT(""system 2"") OR ABSTRACT(""tacit""))",SpringerLink,81
"TS=((""choice"" OR ""decision analysis"" OR ""decision making"" OR ""decision-making"" OR ""idea
screening"" OR ""information gathering"" OR ""judgement"" OR ""judgment"" OR ""option analysis""
OR ""trade-off"") AND (""information system analysis"" OR ""information system design""
OR ""information system development"" OR ""information system planning"" OR ""information
system requirements"" OR ""new product"" OR ""product design"" OR ""product development"" OR
""software architecture"" OR ""software design"" OR ""software development"" OR ""software
planning"" OR ""software requirements"") AND (""analytic"" OR ""associative"" OR ""automatic""
OR ""*conscious*"" OR ""dual-process*"" OR ""experiential"" OR ""explicit"" OR ""gut-feel*"" OR
""heuristic"" OR ""holistic"" OR ""implicit"" OR ""intuit*"" OR ""naturalistic"" OR ""*rational*""
OR ""reasoning"" OR ""reflect*"" OR ""reflex*"" OR ""system 1"" OR ""system 2"" OR ""tacit""))",Web of Science,1303
,Total,5297
